ID,Length,Custom_Result,Z3_Result,Custom_Time_us,Z3_Time_us,Match
1,6,VALID,VALID,3,4982,1
2,6,INVALID,INVALID,4,4507,1
3,13,VALID,VALID,6,4370,1
4,5,VALID,VALID,2,4308,1
5,13,VALID,VALID,5,4589,1
6,13,INVALID,INVALID,8,4632,1
7,15,VALID,VALID,6,4537,1
8,15,INVALID,INVALID,7,4520,1
9,9,VALID,VALID,4,4393,1
10,25,VALID,VALID,8,4575,1
11,13,VALID,VALID,7,4616,1
12,13,INVALID,INVALID,8,4580,1
13,15,VALID,VALID,9,4574,1
14,15,INVALID,INVALID,9,4543,1
15,9,VALID,VALID,4,4426,1
16,9,VALID,VALID,3,4342,1
17,9,VALID,VALID,4,4366,1
18,9,VALID,VALID,4,4379,1
19,21,VALID,VALID,8,4514,1
20,21,VALID,VALID,8,4488,1
21,13,VALID,VALID,7,4515,1
22,13,INVALID,INVALID,8,4541,1
23,5,INVALID,INVALID,4,4351,1
24,9,INVALID,VALID,5,4380,0
25,12,VALID,VALID,5,4340,1
26,29,VALID,VALID,17,4574,1
27,33,VALID,VALID,10,4549,1
28,29,INVALID,INVALID,16,4621,1
29,14,VALID,VALID,6,4525,1
30,14,VALID,VALID,5,4694,1
31,14,INVALID,INVALID,8,4561,1
32,25,VALID,VALID,10,4602,1
33,25,VALID,VALID,7,4621,1
34,25,VALID,VALID,8,4620,1
35,25,VALID,VALID,9,4581,1
36,21,VALID,VALID,10,4545,1
37,21,INVALID,INVALID,11,4617,1
38,25,VALID,VALID,30,4645,1
39,21,INVALID,INVALID,14,4631,1
40,21,INVALID,INVALID,12,4598,1
41,31,VALID,VALID,12,4717,1
42,31,INVALID,INVALID,12,4630,1
43,41,VALID,VALID,20,4623,1
44,37,VALID,VALID,12,4567,1
45,37,INVALID,INVALID,13,4682,1
46,45,VALID,VALID,19,4648,1
47,45,INVALID,INVALID,32,5350,1
48,25,VALID,VALID,10,4712,1
49,25,VALID,VALID,12,4662,1
50,21,INVALID,INVALID,176,4888,1
51,39,VALID,VALID,24,4832,1
52,45,VALID,VALID,23,4823,1
53,45,INVALID,INVALID,41,4847,1
54,61,VALID,VALID,36,4633,1
55,62,INVALID,INVALID,36,5036,1
56,31,VALID,VALID,14,4942,1
57,31,INVALID,INVALID,16,4710,1
58,48,VALID,VALID,21,4618,1
59,48,INVALID,INVALID,32,4692,1
60,65,VALID,VALID,26,4654,1
61,76,INVALID,INVALID,17,4731,1
62,76,INVALID,INVALID,17,4794,1
63,37,INVALID,INVALID,11,4679,1
64,42,VALID,VALID,12,4458,1
65,42,INVALID,INVALID,15,4494,1
66,29,VALID,VALID,10,4680,1
67,29,INVALID,INVALID,15,4763,1
68,37,VALID,VALID,14,4647,1
69,37,INVALID,INVALID,18,4647,1
70,45,VALID,VALID,19,4696,1
71,45,INVALID,INVALID,22,4714,1
72,53,VALID,VALID,22,4846,1
73,53,INVALID,INVALID,33,4749,1
74,61,VALID,VALID,26,4640,1
75,61,INVALID,INVALID,37,4690,1
76,69,VALID,VALID,31,4647,1
77,69,INVALID,INVALID,33,4810,1
78,77,VALID,VALID,40,4674,1
79,77,INVALID,INVALID,48,4700,1
80,85,VALID,VALID,45,4756,1
81,85,INVALID,INVALID,52,4753,1
82,93,VALID,VALID,53,4664,1
83,93,INVALID,INVALID,99,4754,1
84,101,VALID,VALID,63,4743,1
85,101,INVALID,INVALID,78,4797,1
86,109,VALID,VALID,74,4849,1
87,109,VALID,VALID,75,4838,1
88,117,VALID,VALID,89,4728,1
89,117,INVALID,INVALID,105,4810,1
90,125,VALID,VALID,99,4801,1
91,125,INVALID,INVALID,114,4799,1
92,133,VALID,VALID,116,4759,1
93,133,INVALID,INVALID,135,4948,1
94,141,VALID,VALID,130,4772,1
95,141,INVALID,INVALID,159,4804,1
96,149,VALID,VALID,148,4799,1
97,149,VALID,VALID,151,4761,1
98,157,VALID,VALID,177,4694,1
99,157,INVALID,INVALID,210,4780,1
100,149,VALID,VALID,1221,5002,1
101,133,VALID,VALID,46,4984,1
